borehole_id,latitude,longitude,depth_m,swir1,swir2,swir_ratio,lst_temp_c,ndvi,soil_moisture,mn_grade_pct,probability,lithology
BH-MOIL-1084,21.832035229924344,80.17992449678167,127.6,0.271,0.333,1.229,32.79,0.48,0.346,23.99,0.443,Quartz-Spessartite Rock
BH-MOIL-1085,21.789184898724113,80.20011636788696,151.7,0.401,0.534,1.332,35.45,0.409,0.395,30.33,0.577,Quartz-Spessartite Rock
BH-MOIL-1086,21.831890641391883,80.14757192798702,38.3,0.328,0.455,1.387,36.98,0.497,0.43,21.43,0.322,Quartz-Spessartite Rock
BH-MOIL-1087,21.831906338608565,80.18019428413294,160.3,0.418,0.287,0.687,35.47,0.431,0.412,19.5,0.255,Mica Schist
BH-MOIL-1088,21.807374244953273,80.20810155791048,58.1,0.146,0.197,1.349,33.45,0.368,0.574,29.22,0.5,Quartz-Spessartite Rock
BH-MOIL-1089,21.782418187153084,80.16512613665275,26.8,0.386,0.529,1.37,34.42,0.397,0.433,25.9,0.432,Quartz-Spessartite Rock
BH-MOIL-1090,21.8132150961888,80.17864471507689,73.8,0.399,0.323,0.81,31.02,0.343,0.371,36.49,0.709,Manganiferous Gondite
BH-MOIL-1091,21.841515363490153,80.16831846031067,215.7,0.337,0.293,0.869,33.96,0.489,0.523,18.75,0.247,Mica Schist
BH-MOIL-1092,21.80183818292191,80.2170324232715,80.8,0.384,0.436,1.135,32.47,0.483,0.486,24.35,0.413,Quartz-Spessartite Rock
BH-MOIL-1093,21.81483452322534,80.211766969357,147.5,0.418,0.488,1.167,31.65,0.421,0.474,29.26,0.441,Quartz-Spessartite Rock
BH-MOIL-1094,21.785708836130333,80.20449846919507,59.2,0.164,0.177,1.079,36.8,0.469,0.574,25.17,0.36,Quartz-Spessartite Rock
BH-MOIL-1095,21.828075185003392,80.1832478263899,182.3,0.366,0.337,0.921,30.2,0.482,0.342,30.64,0.601,Quartz-Spessartite Rock
BH-MOIL-1096,21.820037336966042,80.22309537942256,213.6,0.386,0.364,0.943,35.53,0.402,0.461,21.93,0.342,Quartz-Spessartite Rock
BH-MOIL-1097,21.81588726378808,80.19146480733218,185.4,0.43,0.317,0.737,29.53,0.253,0.565,39.82,0.851,Manganiferous Gondite
BH-MOIL-1098,21.779809376005918,80.14975736329282,185.7,0.42,0.375,0.893,32.86,0.418,0.584,20.65,0.279,Quartz-Spessartite Rock
BH-MOIL-1099,21.769875359889745,80.21568074468229,51.5,0.27,0.32,1.185,35.2,0.523,0.426,25.03,0.34,Quartz-Spessartite Rock
BH-MOIL-1100,21.795290762194945,80.15262173077684,120.4,0.255,0.36,1.412,30.23,0.448,0.433,27.51,0.518,Quartz-Spessartite Rock
BH-MOIL-1101,21.77004836996849,80.1995544212385,131.2,0.443,0.415,0.937,32.79,0.425,0.337,24.65,0.378,Quartz-Spessartite Rock
BH-MOIL-1102,21.815121499044956,80.19603635737866,141.4,0.127,0.162,1.275,29.69,0.272,0.469,38.03,0.78,Manganiferous Gondite
BH-MOIL-1103,21.778672589627732,80.1619761081535,194.6,0.228,0.175,0.768,36.3,0.4,0.558,18.97,0.177,Mica Schist
BH-MOIL-1104,21.78215233573825,80.15865976967211,153.9,0.129,0.085,0.659,35.53,0.431,0.397,18.69,0.157,Mica Schist
BH-MOIL-1105,21.82143744455633,80.18678684212783,170.4,0.277,0.352,1.271,32.19,0.314,0.451,38.84,0.686,Manganiferous Gondite
BH-MOIL-1106,21.82475815967843,80.21405847262079,126.7,0.271,0.385,1.421,30.43,0.462,0.42,25.7,0.412,Quartz-Spessartite Rock
BH-MOIL-1107,21.83487606632922,80.15057925726133,40.8,0.321,0.226,0.704,31.93,0.482,0.465,19.94,0.341,Mica Schist
BH-MOIL-1108,21.804544546994507,80.18099723340605,143.1,0.153,0.185,1.209,33.58,0.314,0.531,45.48,0.888,Manganiferous Gondite
BH-MOIL-1109,21.798224393277223,80.16297948594918,91.1,0.27,0.265,0.981,29.84,0.396,0.5,28.65,0.435,Quartz-Spessartite Rock
BH-MOIL-1110,21.83593880285875,80.15007066465094,187.2,0.151,0.11,0.728,35.17,0.506,0.467,21.88,0.322,Quartz-Spessartite Rock
BH-MOIL-1111,21.788471678513297,80.15447850282837,94.0,0.34,0.425,1.25,36.08,0.494,0.591,24.33,0.353,Quartz-Spessartite Rock
BH-MOIL-1112,21.808333481471188,80.16171910445377,153.1,0.194,0.143,0.737,35.55,0.421,0.529,25.02,0.444,Quartz-Spessartite Rock
BH-MOIL-1113,21.829712412906268,80.22266372817006,184.6,0.322,0.375,1.165,30.18,0.521,0.549,21.61,0.254,Quartz-Spessartite Rock
BH-MOIL-1114,21.818315901829248,80.1694187751064,91.3,0.122,0.164,1.344,33.59,0.426,0.343,28.16,0.403,Quartz-Spessartite Rock
BH-MOIL-1115,21.821788940960456,80.16191063040269,106.9,0.232,0.219,0.944,35.05,0.501,0.47,19.34,0.174,Mica Schist
BH-MOIL-1116,21.774692791768572,80.19412705455409,156.4,0.21,0.248,1.181,33.4,0.457,0.382,25.1,0.336,Quartz-Spessartite Rock
BH-MOIL-1117,21.79649309067183,80.16735971760644,157.3,0.281,0.333,1.185,28.98,0.356,0.48,31.39,0.531,Quartz-Spessartite Rock
BH-MOIL-1118,21.778998718337625,80.15567878442059,74.8,0.228,0.15,0.658,35.23,0.423,0.414,22.39,0.326,Quartz-Spessartite Rock
BH-MOIL-1119,21.82876833619359,80.20919601492535,39.1,0.404,0.276,0.683,30.1,0.518,0.559,21.85,0.324,Quartz-Spessartite Rock
BH-MOIL-1120,21.818859916925515,80.17811551678749,47.5,0.127,0.116,0.913,34.53,0.404,0.55,34.27,0.573,Manganiferous Gondite
